file,mode,pages,total_hits,top_labels
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2010-A012.pdf,direct,5,42,money_laundering:28; terrorist_financing:14
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2010-A013.pdf,direct,15,177,money_laundering:148; terrorist_financing:29
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2010-A014.pdf,direct,2,42,money_laundering:41; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2010-A11-updated_508.pdf,direct,3,7,money_laundering:6; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A001.pdf,direct,2,10,corruption_bribery:6; money_laundering:3; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\fin-2011-a002.pdf,direct,2,10,corruption_bribery:6; money_laundering:3; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\fin-2011-a003.pdf,direct,3,11,money_laundering:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A004.pdf,direct,2,10,corruption_bribery:6; money_laundering:3; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A005.pdf,direct,13,148,money_laundering:122; terrorist_financing:26
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A006.pdf,direct,4,34,money_laundering:23; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A007.pdf,direct,3,11,money_laundering:10; mortgage_financial_aid_fraud:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A008.pdf,direct,2,4,money_laundering:3; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A009.pdf,direct,2,9,money_laundering:6; structuring_smurfing:2; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A010.pdf,direct,3,23,corruption_bribery:10; money_laundering:7; terrorist_financing:6
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A011.pdf,direct,14,176,money_laundering:142; terrorist_financing:34
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A012.pdf,direct,7,89,money_laundering:66; terrorist_financing:23
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A013.pdf,direct,2,11,money_laundering:7; terrorist_financing:3; structuring_smurfing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A014.pdf,direct,14,160,money_laundering:136; terrorist_financing:24
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A015.pdf,direct,8,104,money_laundering:78; terrorist_financing:26
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2011-A016.pdf,direct,2,10,money_laundering:9; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A001.pdf,direct,2,19,money_laundering:18; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A002.pdf,direct,3,39,money_laundering:38; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A003.pdf,direct,13,154,money_laundering:129; terrorist_financing:25
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A004.pdf,direct,10,127,money_laundering:96; terrorist_financing:31
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A005.pdf,direct,3,5,money_laundering:5
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A006.pdf,direct,4,6,money_laundering:5; structuring_smurfing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A007.pdf,direct,11,140,money_laundering:118; terrorist_financing:22
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A008.pdf,direct,12,134,money_laundering:95; terrorist_financing:39
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A009.pdf,direct,5,10,money_laundering:9; mortgage_financial_aid_fraud:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A010.pdf,direct,4,11,money_laundering:10; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A011.pdf,direct,12,140,money_laundering:124; terrorist_financing:16
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2012-A012.pdf,direct,13,137,money_laundering:95; terrorist_financing:42
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A001.pdf,direct,4,6,money_laundering:6
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A002.pdf,direct,3,26,money_laundering:11; corruption_bribery:8; terrorist_financing:7
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A003.pdf,direct,13,156,money_laundering:130; terrorist_financing:26
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A004.pdf,direct,11,117,money_laundering:77; terrorist_financing:40
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A005.pdf,direct,8,41,terrorist_financing:24; money_laundering:9; sanctions_evasion:4; corruption_bribery:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A006.pdf,direct,5,46,money_laundering:35; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A007.pdf,direct,3,9,money_laundering:9
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2013-A008.pdf,direct,6,47,money_laundering:37; terrorist_financing:10
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A001.pdf,direct,2,11,corruption_bribery:7; money_laundering:3; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A002.pdf,direct,4,13,corruption_bribery:7; money_laundering:3; terrorist_financing:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A003.pdf,direct,6,45,money_laundering:34; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A004.pdf,direct,2,7,terrorist_financing:5; money_laundering:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A005.pdf,direct,6,46,trade_based_money_laundering:24; money_laundering:22
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A006.pdf,direct,5,46,money_laundering:35; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A007.pdf,direct,6,84,money_laundering:81; structuring_smurfing:1; terrorist_financing:1; corruption_bribery:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A008.pdf,direct,10,37,human_trafficking:26; money_laundering:10; structuring_smurfing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2014-A009.pdf,direct,5,43,money_laundering:32; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2015-A001.pdf,direct,5,41,money_laundering:30; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2015-A002.pdf,direct,5,44,money_laundering:33; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2016-A001.pdf,direct,5,43,money_laundering:32; terrorist_financing:11
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2016-A002.pdf,direct,6,48,money_laundering:35; terrorist_financing:13
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2016-A003.pdf,direct,8,51,bec_business_email_compromise:33; money_laundering:17; terrorist_financing:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FIN-2016-A004.pdf,direct,6,51,money_laundering:34; terrorist_financing:17
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20Corruption%20FINAL%20508.pdf,direct,13,191,corruption_bribery:79; money_laundering:74; terrorist_financing:30; ransomware:3; sanctions_evasion:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20Covid%20Cybercrime%20508%20FINAL.pdf,direct,8,47,money_laundering:25; bec_business_email_compromise:13; ransomware:5; crypto_virtual_assets:3; synthetic_identity:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20CVC%20FINAL%20508.pdf,direct,12,93,money_laundering:49; terrorist_financing:31; ransomware:3; crypto_virtual_assets:3; structuring_smurfing:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20Elder%20Financial%20Exploitation%20FINAL%20508.pdf,direct,15,70,money_laundering:49; romance_scam_elder_fraud:15; structuring_smurfing:2; terrorist_financing:1; bec_business_email_compromise:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20FIN-2017-A006-508%20Compliant.pdf,direct,7,83,corruption_bribery:35; money_laundering:27; terrorist_financing:19; sanctions_evasion:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Advisory%20FIN-2017-A007-508%20Compliant.pdf,direct,4,9,money_laundering:9
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20FATF%20Advisory%20%28February%202017%29.pdf,direct,6,62,money_laundering:35; terrorist_financing:27
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20FATF%20Advisory%20FIN-2018-A002%20%28508%29.pdf,direct,10,117,terrorist_financing:63; money_laundering:52; sanctions_evasion:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20FATF%20Advisory%20Jan%202017-508%20Compliant_0.pdf,direct,6,52,money_laundering:34; terrorist_financing:18
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20FATF%20Advisory-FIN-2017-A005_0.pdf,direct,7,79,money_laundering:42; terrorist_financing:37
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN%20Ransomware%20Advisory_FINAL_508_.pdf,direct,11,210,ransomware:132; money_laundering:48; crypto_virtual_assets:17; terrorist_financing:11; structuring_smurfing:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Advisory-CMLN-508.pdf,direct,15,111,money_laundering:84; trade_based_money_laundering:9; terrorist_financing:6; structuring_smurfing:5; crypto_virtual_assets:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf,direct,18,125,terrorist_financing:57; money_laundering:40; sanctions_evasion:24; structuring_smurfing:2; corruption_bribery:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Advisory-Iran-Backed-TF-508C.pdf,direct,17,141,terrorist_financing:56; money_laundering:55; sanctions_evasion:17; crypto_virtual_assets:8; structuring_smurfing:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Advisory-ISIS-508C.pdf,direct,15,89,money_laundering:49; terrorist_financing:17; crypto_virtual_assets:11; ransomware:7; structuring_smurfing:3
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf,direct,15,101,money_laundering:53; terrorist_financing:26; sanctions_evasion:10; structuring_smurfing:8; crypto_virtual_assets:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\guidance_fi_increasing_mlt_iranian.pdf,direct,2,18,money_laundering:10; terrorist_financing:8
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Iran%20Advisory%20FINAL%20508.pdf,direct,19,218,terrorist_financing:149; money_laundering:37; sanctions_evasion:27; structuring_smurfing:3; crypto_virtual_assets:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Nicaragua_Advisory_FINAL_508_0.pdf,direct,5,61,money_laundering:26; corruption_bribery:20; terrorist_financing:14; sanctions_evasion:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Nigeria_Withdrawal.pdf,direct,1,4,money_laundering:4
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\PEP%20Facilitator%20Advisory_FINAL%20508%20updated.pdf,direct,15,152,corruption_bribery:65; money_laundering:50; terrorist_financing:35; sanctions_evasion:2
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Risk%20in%20Real%20Estate%20Advisory_FINAL%20508%20Tuesday%20%28002%29.pdf,direct,8,91,money_laundering:81; terrorist_financing:6; corruption_bribery:3; healthcare_fraud:1
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\South%20Sudan%20Advisory_09-06-2017_0.pdf,direct,7,79,money_laundering:27; terrorist_financing:26; corruption_bribery:26
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Updated%20BEC%20Advisory%20FINAL%20508.pdf,direct,12,146,bec_business_email_compromise:113; money_laundering:33
C:\Users\marlo\OneDrive\Desktop\Coding\FinCen\fincen_advisory_pdfs\Venezuela%20Advisory%20FINAL%20508.pdf,direct,15,211,terrorist_financing:73; money_laundering:55; corruption_bribery:54; sanctions_evasion:18; trade_based_money_laundering:9
